"rooms","bathroom","square_meters","lift","terrace","neighborhood","square_meters_price","price","housing type"
3,2,80,1,0,"Gràcia",11.88,950,"flat"
3,1,90,1,1,"Gràcia",11.67,1050,"flat"
4,2,90,1,1,"Eixample",20,1800,"flat"
3,2,70,1,0,"Sant Martí",15.71,1100,"flat"
4,1,100,1,0,"Eixample",11.9,1190,"flat"
1,1,40,0,0,"Ciutat Vella",19.38,775,"flat"
1,1,46,1,1,"Gràcia",17.28,795,"flat"
1,1,45,0,0,"Sants-Montjuïc",15.56,700,"flat"
1,1,30,1,0,"Les Corts",18.33,550,"flat"
1,1,55,1,0,"Sants-Montjuïc",14.55,800,"flat"
3,1,72,1,1,"Sant Martí",13.82,995,"flat"
2,1,52,0,0,"Sants-Montjuïc",16.35,850,"flat"
1,1,52,1,1,"Sarria-Sant Gervasi",14.42,750,"studio"
2,1,75,1,1,"Eixample",13,975,"flat"
3,1,72,0,0,"Nou Barris",13.89,1000,"flat"
3,2,90,0,0,"Horta- Guinardo",9.44,850,"attic"
2,1,40,0,0,"Sants-Montjuïc",20,800,"flat"
1,1,63,0,0,"Ciutat Vella",11.9,750,"flat"
3,2,132,1,1,"Eixample",10.61,1400,"flat"
3,2,135,0,0,"Les Corts",14.44,1950,"flat"
2,1,48,1,0,"Eixample",21.88,1050,"flat"
3,1,62,0,0,"Ciutat Vella",20.16,1250,"flat"
1,1,25,1,0,"Sarria-Sant Gervasi",31.8,795,"flat"
1,1,40,1,0,"Gràcia",22.38,895,"flat"
2,2,68,1,0,"Gràcia",17.5,1190,"flat"
1,1,42,0,0,"Ciutat Vella",18.93,795,"flat"
2,1,70,1,0,"Eixample",17.07,1195,"flat"
1,1,50,0,0,"Sants-Montjuïc",14.9,745,"flat"
4,2,155,1,0,"Sarria-Sant Gervasi",10.32,1600,"flat"
2,1,72,0,1,"Horta- Guinardo",15.28,1100,"flat"
4,2,85,0,0,"Gràcia",12.94,1100,"flat"
2,1,58,1,0,"Eixample",14.24,826,"flat"
4,3,200,1,1,"Les Corts",13,2600,"flat"
4,2,130,1,0,"Sarria-Sant Gervasi",11.15,1450,"flat"
1,1,16,0,1,"Ciutat Vella",31.25,500,"studio"
4,2,100,0,0,"Eixample",11,1100,"flat"
2,2,103,1,1,"Eixample",20.39,2100,"flat"
2,1,40,1,1,"Eixample",26,1040,"attic"
3,1,86,1,0,"Eixample",12.56,1080,"flat"
2,2,75,0,0,"Ciutat Vella",32.76,2457,"apartment"
4,1,140,0,0,"Horta- Guinardo",14.29,2000,"apartment"
1,1,40,0,0,"Sant Andreu",22.5,900,"apartment"
2,2,95,0,0,"Les Corts",15.79,1500,"apartment"
2,2,65,0,0,"Eixample",33.85,2200,"apartment"
1,1,38,0,0,"Sant Andreu",14.47,550,"flat"
3,2,90,1,0,"Sant Martí",21.11,1900,"flat"
2,1,86,0,0,"Ciutat Vella",17.44,1500,"apartment"
1,1,25,0,0,"Ciutat Vella",34,850,"apartment"
2,1,56,1,1,"Eixample",24.11,1350,"flat"
3,2,90,1,0,"Horta- Guinardo",10.4,936,"flat"
4,2,100,1,0,"Sant Andreu",10,1000,"flat"
2,1,61,1,0,"Gràcia",14.59,890,"flat"
2,2,56,1,1,"Horta- Guinardo",14.2,795,"flat"
4,2,133,1,1,"Eixample",11.28,1500,"flat"
1,2,57,1,0,"Eixample",16.67,950,"flat"
1,1,50,1,1,"Sant Andreu",17,850,"flat"
3,2,94,1,1,"Sarria-Sant Gervasi",13.3,1250,"flat"
2,1,65,1,0,"Sarria-Sant Gervasi",23.85,1550,"flat"
1,1,50,1,0,"Gràcia",19.9,995,"flat"
3,2,88,1,0,"Eixample",17.56,1545,"flat"
1,1,60,1,0,"Gràcia",20,1200,"flat"
2,1,50,1,0,"Ciutat Vella",28,1400,"flat"
1,1,90,1,1,"Eixample",17.22,1550,"flat"
3,2,70,1,0,"Eixample",25.64,1795,"flat"
1,1,30,1,0,"Gràcia",16.67,500,"studio"
1,1,45,1,0,"Ciutat Vella",15.56,700,"flat"
3,2,100,1,0,"Eixample",9,900,"flat"
4,1,75,1,0,"Eixample",14.67,1100,"flat"
3,1,95,1,1,"Eixample",12.63,1200,"flat"
3,1,80,0,0,"Ciutat Vella",14.38,1150,"flat"
2,1,84,1,1,"Les Corts",16.07,1350,"flat"
3,2,82,1,0,"Eixample",10.37,850,"flat"
2,1,60,0,0,"Sants-Montjuïc",12.08,725,"flat"
4,3,197,1,0,"Eixample",14.24,2805,"flat"
2,2,77,1,1,"Eixample",16.88,1300,"flat"
1,1,51,1,1,"Eixample",29.41,1500,"apartment"
2,1,57,0,0,"Sarria-Sant Gervasi",14.91,850,"flat"
3,2,100,1,0,"Eixample",12.56,1256,"flat"
4,3,187,1,1,"Eixample",14.17,2650,"attic"
2,1,75,1,0,"Eixample",12,900,"flat"
4,2,89,1,1,"Sant Martí",11.46,1020,"flat"
2,1,55,1,1,"Sarria-Sant Gervasi",19.09,1050,"attic"
3,2,87,1,0,"Sants-Montjuïc",13.22,1150,"flat"
2,2,70,1,1,"Eixample",11.21,785,"flat"
2,1,77,1,0,"Sarria-Sant Gervasi",13.64,1050,"flat"
2,1,65,1,0,"Ciutat Vella",16.15,1050,"flat"
1,1,45,1,0,"Gràcia",19.33,870,"flat"
4,2,79,1,0,"Sant Martí",12.15,960,"flat"
2,1,85,1,1,"Eixample",14.71,1250,"flat"
2,1,61,0,0,"Nou Barris",11.31,690,"flat"
3,2,85,1,0,"Eixample",14,1190,"flat"
3,1,53,1,0,"Sant Andreu",13.21,700,"flat"
4,2,130,1,1,"Sant Martí",19.23,2500,"flat"
1,1,50,0,0,"Les Corts",17,850,"flat"
5,4,280,0,1,"Sarria-Sant Gervasi",14.29,4000,"flat"
3,1,80,0,0,"Eixample",14.38,1150,"flat"
4,2,86,0,0,"Gràcia",11.4,980,"flat"
2,2,69,1,0,"Eixample",18.12,1250,"flat"
2,2,79,0,0,"Gràcia",11.71,925,"flat"
2,1,57,1,0,"Ciutat Vella",22.81,1300,"flat"
3,2,82,1,0,"Les Corts",11.59,950,"flat"
5,2,125,1,0,"Sarria-Sant Gervasi",11.2,1400,"flat"
2,1,64,1,0,"Horta- Guinardo",13.75,880,"flat"
1,1,50,1,0,"Eixample",13,650,"flat"
3,2,124,0,1,"Gràcia",9.68,1200,"flat"
3,1,75,0,0,"Sant Martí",11.67,875,"flat"
2,1,50,1,1,"Eixample",18,900,"flat"
3,2,70,1,0,"Ciutat Vella",17,1190,"flat"
2,2,142,0,1,"Sant Martí",12.32,1750,"flat"
3,1,69,1,0,"Sant Andreu",11.45,790,"flat"
4,2,118,1,0,"Sarria-Sant Gervasi",10.59,1250,"flat"
3,1,79,1,0,"Eixample",13.92,1100,"flat"
1,1,45,0,0,"Ciutat Vella",22.11,995,"flat"
2,1,65,1,0,"Sant Martí",18.46,1200,"flat"
2,2,54,1,0,"Sants-Montjuïc",20.19,1090,"flat"
2,2,70,1,1,"Eixample",13.57,950,"flat"
2,2,62,1,0,"Ciutat Vella",24.19,1500,"flat"
3,1,54,0,0,"Ciutat Vella",14.17,765,"flat"
4,2,72,1,0,"Les Corts",13.19,950,"flat"
2,1,56,1,0,"Eixample",13.39,750,"flat"
1,1,34,0,0,"Ciutat Vella",16.18,550,"flat"
3,2,72,1,0,"Horta- Guinardo",10.76,775,"flat"
3,1,59,0,0,"Sants-Montjuïc",11.86,700,"flat"
1,1,28,0,0,"Gràcia",23.21,650,"flat"
1,1,27,1,0,"Les Corts",20.74,560,"flat"
1,1,40,1,1,"Ciutat Vella",22.5,900,"flat"
3,1,70,0,0,"Ciutat Vella",11.71,820,"flat"
3,2,152,1,1,"Sarria-Sant Gervasi",21.71,3300,"flat"
3,1,63,0,0,"Nou Barris",10.71,675,"flat"
2,1,52,1,0,"Eixample",21.63,1125,"flat"
1,1,48,1,0,"Eixample",20.73,995,"flat"
3,1,73,0,0,"Horta- Guinardo",15.89,1160,"flat"
1,1,60,1,0,"Eixample",19.17,1150,"flat"
4,2,77,1,0,"Gràcia",12.99,1000,"flat"
2,2,70,1,0,"Sarria-Sant Gervasi",22.86,1600,"flat"
5,4,300,1,1,"Sarria-Sant Gervasi",13.33,4000,"flat"
3,2,147,1,0,"Sarria-Sant Gervasi",10.88,1600,"flat"
2,1,67,1,0,"Gràcia",14.18,950,"flat"
2,1,72,1,0,"Eixample",15.97,1150,"flat"
4,3,274,1,1,"Sarria-Sant Gervasi",10.22,2800,"flat"
4,3,200,1,1,"Sarria-Sant Gervasi",13.25,2650,"flat"
2,2,123,1,1,"Sarria-Sant Gervasi",22.76,2800,"attic"
4,3,155,1,1,"Sarria-Sant Gervasi",20.65,3200,"flat"
2,1,53,0,0,"Eixample",24.34,1290,"flat"
5,4,279,1,0,"Sarria-Sant Gervasi",12.19,3400,"flat"
2,1,50,0,0,"Gràcia",15.4,770,"flat"
2,2,70,1,0,"Eixample",16.43,1150,"flat"
3,2,77,1,0,"Sant Andreu",10.06,775,"flat"
2,1,56,1,0,"Eixample",15.18,850,"flat"
2,1,71,1,0,"Eixample",14.79,1050,"flat"
3,2,185,1,0,"Sarria-Sant Gervasi",13.51,2500,"flat"
1,1,49,1,0,"Gràcia",15.82,775,"flat"
2,1,40,0,0,"Gràcia",19.35,774,"flat"
3,1,85,1,0,"Sarria-Sant Gervasi",15.29,1300,"flat"
1,1,95,1,0,"Sarria-Sant Gervasi",13.16,1250,"flat"
1,1,48,1,0,"Ciutat Vella",14.38,690,"flat"
4,3,138,1,1,"Sarria-Sant Gervasi",21.01,2900,"flat"
3,2,85,1,1,"Sant Andreu",9.71,825,"flat"
3,1,69,1,1,"Horta- Guinardo",11.78,813,"flat"
1,1,60,1,1,"Horta- Guinardo",18.33,1100,"flat"
3,1,82,1,0,"Sarria-Sant Gervasi",14.27,1170,"flat"
2,2,80,0,0,"Sarria-Sant Gervasi",14.69,1175,"flat"
5,3,277,1,0,"Sarria-Sant Gervasi",13.9,3850,"apartment"
2,1,55,1,0,"Sarria-Sant Gervasi",15.09,830,"flat"
2,2,96,1,1,"Sarria-Sant Gervasi",21.77,2090,"flat"
5,3,274,1,1,"Sarria-Sant Gervasi",11.55,3164,"apartment"
1,1,55,1,0,"Sarria-Sant Gervasi",21.82,1200,"apartment"
4,3,250,1,0,"Sarria-Sant Gervasi",11.6,2900,"flat"
1,1,50,1,1,"Eixample",22,1100,"flat"
4,1,90,0,0,"Eixample",10.27,924,"flat"
5,3,149,1,1,"Sarria-Sant Gervasi",15.44,2300,"apartment"
3,2,117,1,0,"Sarria-Sant Gervasi",11.11,1300,"apartment"
3,3,97,1,0,"Sarria-Sant Gervasi",18.04,1750,"apartment"
2,1,86,1,1,"Horta- Guinardo",10.76,925,"flat"
3,2,138,1,1,"Sarria-Sant Gervasi",15.18,2095,"flat"
1,1,42,1,0,"Eixample",27.38,1150,"apartment"
4,2,120,1,0,"Les Corts",10.42,1250,"flat"
3,1,81,1,0,"Eixample",12.35,1000,"flat"
3,1,70,1,0,"Les Corts",15,1050,"flat"
1,1,35,1,1,"Gràcia",24.29,850,"flat"
2,1,56,1,0,"Eixample",17.86,1000,"flat"
2,1,58,1,1,"Eixample",18.1,1050,"attic"
4,3,169,1,0,"Eixample",8.58,1450,"flat"
2,1,65,1,1,"Gràcia",19.23,1250,"flat"
2,1,56,1,0,"Sarria-Sant Gervasi",16.96,950,"flat"
3,2,95,1,0,"Sarria-Sant Gervasi",12.63,1200,"flat"
2,2,110,1,0,"Horta- Guinardo",18.18,2000,"flat"
3,2,130,1,1,"Sarria-Sant Gervasi",14.88,1935,"flat"
2,1,59,0,0,"Ciutat Vella",13.64,805,"flat"
1,1,70,1,1,"Sarria-Sant Gervasi",15,1050,"apartment"
2,1,88,1,0,"Eixample",13.07,1150,"flat"
1,1,42,0,1,"Sants-Montjuïc",18.93,795,"flat"
1,1,35,1,0,"Gràcia",14.29,500,"studio"
2,1,60,1,0,"Nou Barris",14.67,880,"flat"
2,1,85,1,0,"Sant Martí",11.53,980,"flat"
3,2,72,1,1,"Gràcia",22.22,1600,"attic"
2,2,80,1,0,"Eixample",14.38,1150,"flat"
3,1,48,1,0,"Eixample",17.71,850,"flat"
1,1,50,0,0,"Ciutat Vella",15,750,"flat"
1,1,56,0,0,"Eixample",13.3,745,"flat"
3,3,110,1,0,"Ciutat Vella",24.55,2700,"flat"
2,2,60,1,0,"Sarria-Sant Gervasi",23.33,1400,"flat"
2,1,76,1,1,"Eixample",21.71,1650,"flat"
4,4,398,1,1,"Sarria-Sant Gervasi",13.07,5200,"attic"
5,2,170,1,1,"Les Corts",17.65,3000,"flat"
1,1,65,1,0,"Eixample",19.57,1272,"flat"
2,2,105,1,1,"Ciutat Vella",36.19,3800,"flat"
1,1,44,1,0,"Sarria-Sant Gervasi",19.55,860,"flat"
1,1,50,0,0,"Sarria-Sant Gervasi",22,1100,"flat"
2,2,70,1,0,"Eixample",35.71,2500,"flat"
2,2,81,1,0,"Sarria-Sant Gervasi",18.52,1500,"flat"
1,1,49,1,0,"Sarria-Sant Gervasi",20.41,1000,"flat"
3,3,140,1,1,"Sarria-Sant Gervasi",20,2800,"flat"
2,2,95,1,0,"Ciutat Vella",21.05,2000,"flat"
5,3,300,1,1,"Les Corts",9.83,2950,"flat"
3,3,180,1,1,"Eixample",55.56,10000,"flat"
3,2,85,1,0,"Ciutat Vella",18.82,1600,"flat"
4,2,80,0,0,"Eixample",13.73,1098,"flat"
2,1,76,1,0,"Eixample",14.2,1079,"flat"
1,1,58,1,0,"Ciutat Vella",31.03,1800,"flat"
2,1,99,0,0,"Eixample",12.73,1260,"flat"
3,2,80,1,0,"Sarria-Sant Gervasi",16,1280,"flat"
3,1,69,0,0,"Sants-Montjuïc",12.9,890,"flat"
1,1,46,0,0,"Eixample",19.57,900,"flat"
3,2,100,1,0,"Ciutat Vella",25,2500,"flat"
3,2,135,1,0,"Ciutat Vella",20,2700,"flat"
2,2,69,1,0,"Ciutat Vella",15.94,1100,"flat"
5,5,270,1,1,"Sarria-Sant Gervasi",18.52,5000,"flat"
3,2,140,1,0,"Sarria-Sant Gervasi",22.86,3200,"flat"
1,1,60,1,0,"Sarria-Sant Gervasi",16.25,975,"flat"
1,1,52,0,0,"Sarria-Sant Gervasi",20.19,1050,"flat"
2,1,89,1,0,"Les Corts",13.48,1200,"flat"
5,3,130,1,1,"Sarria-Sant Gervasi",17.69,2300,"flat"
2,2,139,1,1,"Sarria-Sant Gervasi",18.47,2568,"flat"
3,1,84,1,0,"Sarria-Sant Gervasi",12.96,1089,"flat"
3,2,90,1,0,"Gràcia",16.67,1500,"flat"
3,2,120,1,1,"Sarria-Sant Gervasi",18.75,2250,"flat"
2,1,45,0,0,"Ciutat Vella",30,1350,"flat"
3,3,170,1,1,"Sarria-Sant Gervasi",14.71,2500,"flat"
3,2,114,1,1,"Eixample",34.08,3885,"flat"
5,4,260,1,1,"Sarria-Sant Gervasi",13.46,3500,"flat"
2,1,78,1,0,"Sarria-Sant Gervasi",14.74,1150,"flat"
3,2,82,1,1,"Eixample",17.07,1400,"flat"
2,1,73,1,1,"Les Corts",26.71,1950,"flat"
3,4,190,1,1,"Eixample",50,9500,"flat"
3,2,133,1,0,"Sarria-Sant Gervasi",26.32,3500,"flat"
5,3,220,1,1,"Les Corts",13.64,3000,"flat"
4,5,450,1,1,"Sarria-Sant Gervasi",33.33,15000,"flat"
3,2,114,1,1,"Eixample",40.35,4600,"flat"
5,5,240,1,0,"Sarria-Sant Gervasi",22.08,5300,"flat"
2,1,61,1,0,"Gràcia",22.13,1350,"flat"
1,1,51,1,0,"Ciutat Vella",15.39,785,"flat"
5,4,250,1,1,"Eixample",16.8,4200,"flat"
1,2,65,1,0,"Sants-Montjuïc",16.92,1100,"flat"
3,2,129,1,0,"Sarria-Sant Gervasi",13.85,1787,"flat"
4,3,211,1,0,"Eixample",28.44,6000,"flat"
2,2,63,1,0,"Ciutat Vella",20.63,1300,"flat"
4,2,129,1,0,"Sarria-Sant Gervasi",26.82,3460,"flat"
2,2,68,1,1,"Sarria-Sant Gervasi",27.79,1890,"flat"
2,1,68,1,0,"Sarria-Sant Gervasi",14.71,1000,"flat"
2,2,83,1,0,"Eixample",13.25,1100,"flat"
3,1,75,1,0,"Eixample",14.67,1100,"flat"
3,2,100,1,0,"Sarria-Sant Gervasi",12,1200,"flat"
4,2,150,1,0,"Eixample",9.33,1400,"flat"
2,1,60,1,0,"Ciutat Vella",18.17,1090,"flat"
4,1,92,1,1,"Sant Andreu",10,920,"flat"
3,1,71,1,0,"Sant Andreu",13.38,950,"flat"
3,2,90,1,0,"Eixample",13.89,1250,"flat"
2,2,80,1,0,"Les Corts",13.13,1050,"flat"
4,2,100,1,0,"Sants-Montjuïc",11,1100,"flat"
4,2,82,1,0,"Eixample",11.59,950,"flat"
2,1,70,1,1,"Ciutat Vella",11.79,825,"flat"
3,1,67,1,1,"Sant Martí",12.69,850,"flat"
3,4,220,1,1,"Eixample",16.36,3600,"flat"
3,1,60,0,0,"Horta- Guinardo",11.58,695,"flat"
3,1,85,1,0,"Eixample",10.59,900,"flat"
3,2,81,0,0,"Sants-Montjuïc",13.58,1100,"flat"
2,1,60,1,0,"Sant Martí",13.83,830,"flat"
4,1,95,1,0,"Eixample",12.11,1150,"flat"
2,1,83,1,0,"Les Corts",15.54,1290,"apartment"
1,1,42,1,0,"Sant Martí",16.67,700,"apartment"
4,2,125,1,0,"Les Corts",18.4,2300,"flat"
1,1,75,1,0,"Sarria-Sant Gervasi",13,975,"apartment"
5,3,250,1,0,"Les Corts",11.8,2950,"flat"
5,5,300,1,0,"Sarria-Sant Gervasi",15.67,4700,"flat"
2,2,70,1,1,"Sant Martí",15.71,1100,"flat"
2,1,42,0,0,"Sant Martí",18.55,779,"flat"
1,1,40,0,0,"Ciutat Vella",23.63,945,"flat"
3,1,55,1,0,"Ciutat Vella",18.18,1000,"flat"
3,1,65,0,0,"Horta- Guinardo",12.69,825,"flat"
2,1,45,0,0,"Ciutat Vella",16.67,750,"flat"
3,1,100,0,0,"Ciutat Vella",8.5,850,"flat"
1,1,44,1,1,"Eixample",34.09,1500,"flat"
2,1,120,0,0,"Eixample",10.83,1300,"flat"
4,3,267,1,1,"Sarria-Sant Gervasi",17.6,4700,"flat"
2,1,83,1,0,"Sant Andreu",10.24,850,"flat"
1,1,40,0,1,"Eixample",23.75,950,"attic"
1,1,58,1,0,"Ciutat Vella",13.62,790,"apartment"
4,2,95,1,0,"Les Corts",10.53,1000,"flat"
3,1,75,1,0,"Les Corts",12,900,"flat"
4,1,109,0,0,"Les Corts",11.93,1300,"flat"
2,1,48,0,0,"Ciutat Vella",14.58,700,"flat"
1,1,25,1,0,"Sants-Montjuïc",24,600,"flat"
3,2,146,1,0,"Eixample",23.7,3460,"flat"
2,1,41,0,0,"Ciutat Vella",15.85,650,"flat"
3,1,78,1,0,"Les Corts",14.74,1150,"flat"
3,1,56,0,0,"Gràcia",13.39,750,"flat"
3,1,91,0,0,"Gràcia",10.99,1000,"flat"
4,1,95,0,0,"Eixample",11.58,1100,"flat"
3,1,71,1,1,"Sant Martí",12.32,875,"flat"
3,1,64,1,0,"Nou Barris",11.72,750,"flat"
3,1,72,1,0,"Nou Barris",9.72,700,"flat"
3,1,55,1,0,"Nou Barris",13.18,725,"flat"
2,1,55,1,0,"Sant Andreu",12.73,700,"flat"
3,2,90,0,0,"Eixample",13.33,1200,"flat"
2,1,86,0,0,"Sant Martí",11.4,980,"flat"
3,2,121,1,0,"Sant Martí",20.66,2500,"flat"
4,2,130,0,0,"Eixample",12.31,1600,"flat"
3,3,191,1,1,"Les Corts",20.42,3900,"attic"
3,1,80,0,1,"Sant Martí",18.69,1495,"flat"
2,1,50,0,0,"Sarria-Sant Gervasi",14,700,"flat"
4,3,213,1,0,"Sarria-Sant Gervasi",13.62,2900,"flat"
3,1,75,0,0,"Eixample",11.33,850,"flat"
2,1,70,1,0,"Eixample",16.43,1150,"flat"
2,1,45,0,0,"Sant Martí",14.44,650,"flat"
3,1,89,1,1,"Eixample",13.48,1200,"flat"
3,3,75,1,0,"Eixample",19.33,1450,"flat"
1,1,50,1,1,"Sants-Montjuïc",20,1000,"flat"
3,1,70,1,0,"Sarria-Sant Gervasi",11.43,800,"flat"
2,1,53,1,0,"Sant Martí",22.64,1200,"flat"
3,1,66,1,0,"Sant Martí",11.21,740,"flat"
3,1,77,0,0,"Sant Martí",10.39,800,"flat"
2,2,91,0,0,"Ciutat Vella",16.48,1500,"apartment"
1,1,50,0,0,"Eixample",31.5,1575,"apartment"
4,2,60,0,0,"Sants-Montjuïc",91.27,5476,"apartment"
2,1,105,0,0,"Ciutat Vella",32.86,3450,"apartment"
1,1,60,0,0,"Ciutat Vella",32.3,1938,"apartment"
2,1,55,0,0,"Ciutat Vella",18.18,1000,"flat"
2,4,53,1,0,"Eixample",16.79,890,"flat"
2,2,65,1,0,"Ciutat Vella",15.23,990,"flat"
3,2,103,1,0,"Eixample",10.19,1050,"flat"
5,3,176,1,0,"Sarria-Sant Gervasi",11.36,2000,"flat"
2,1,52,0,0,"Ciutat Vella",17.21,895,"flat"
6,6,405,1,0,"Sarria-Sant Gervasi",17.28,7000,"flat"
1,1,49,1,0,"Sarria-Sant Gervasi",14.08,690,"flat"
1,1,45,1,0,"Les Corts",18.89,850,"apartment"
2,2,75,1,0,"Sarria-Sant Gervasi",17.33,1300,"flat"
3,2,80,1,0,"Les Corts",13.75,1100,"flat"
1,1,55,1,1,"Sarria-Sant Gervasi",14.55,800,"flat"
3,1,70,0,1,"Gràcia",12.86,900,"flat"
2,1,40,0,0,"Gràcia",21.25,850,"flat"
2,1,80,1,0,"Ciutat Vella",13.13,1050,"flat"
2,1,66,1,0,"Sants-Montjuïc",15.76,1040,"apartment"
1,1,60,0,0,"Ciutat Vella",12.08,725,"flat"
3,2,140,1,1,"Les Corts",16.07,2250,"flat"
4,2,90,1,1,"Eixample",16.56,1490,"flat"
4,4,237,1,1,"Eixample",14.77,3500,"flat"
2,1,75,1,1,"Les Corts",13,975,"flat"
2,1,41,0,0,"Gràcia",15.85,650,"flat"
1,1,50,1,0,"Sant Martí",19.5,975,"flat"
1,1,70,0,0,"Sarria-Sant Gervasi",17.07,1195,"apartment"
1,1,47,1,1,"Eixample",17.02,800,"flat"
3,2,120,1,0,"Sarria-Sant Gervasi",13.75,1650,"flat"
1,1,70,1,0,"Eixample",16.43,1150,"flat"
2,1,56,0,0,"Gràcia",14.29,800,"flat"
2,2,106,1,0,"Eixample",13.68,1450,"flat"
2,1,65,0,0,"Ciutat Vella",15.31,995,"flat"
2,1,60,1,0,"Gràcia",19.92,1195,"flat"
1,1,40,0,0,"Ciutat Vella",16.88,675,"flat"
1,1,34,0,0,"Ciutat Vella",21.32,725,"flat"
4,3,220,1,0,"Eixample",20.45,4500,"flat"
3,2,93,0,1,"Les Corts",12.9,1200,"flat"
1,1,75,1,0,"Ciutat Vella",24,1800,"apartment"
2,1,54,1,0,"Sants-Montjuïc",20.19,1090,"flat"
1,1,51,1,0,"Eixample",23.53,1200,"flat"
2,1,78,1,1,"Gràcia",13.46,1050,"flat"
3,2,89,1,0,"Sants-Montjuïc",10,890,"flat"
2,1,45,0,0,"Ciutat Vella",19.89,895,"flat"
3,1,70,1,0,"Eixample",18.57,1300,"flat"
3,2,138,1,1,"Eixample",20.29,2800,"apartment"
2,2,135,0,0,"Ciutat Vella",18.89,2550,"apartment"
4,4,220,1,1,"Eixample",13.64,3000,"attic"
3,3,185,0,0,"Eixample",16.22,3000,"flat"
5,4,290,1,0,"Sarria-Sant Gervasi",20.69,6000,"flat"
1,1,50,1,0,"Sarria-Sant Gervasi",24,1200,"apartment"
3,2,98,1,0,"Ciutat Vella",13.78,1350,"flat"
2,1,70,1,0,"Les Corts",28.43,1990,"flat"
2,2,77,1,0,"Sarria-Sant Gervasi",17.53,1350,"flat"
2,2,95,1,0,"Eixample",13.68,1300,"flat"
2,1,63,1,1,"Horta- Guinardo",19.05,1200,"flat"
1,1,70,0,1,"Sants-Montjuïc",15.71,1100,"attic"
3,2,100,1,0,"Gràcia",17.5,1750,"flat"
3,2,133,1,0,"Eixample",13.53,1800,"flat"
3,2,135,1,1,"Sarria-Sant Gervasi",16.3,2200,"flat"
2,1,70,1,0,"Horta- Guinardo",15.71,1100,"flat"
3,1,78,0,0,"Sant Martí",12.82,1000,"apartment"
1,1,45,0,0,"Eixample",30,1350,"flat"
4,2,101,1,1,"Sarria-Sant Gervasi",12.38,1250,"flat"
3,3,155,1,0,"Sarria-Sant Gervasi",14.52,2250,"flat"
2,2,55,0,0,"Eixample",23.64,1300,"flat"
2,1,85,1,1,"Sarria-Sant Gervasi",20,1700,"flat"
3,3,95,1,0,"Eixample",13.68,1300,"flat"
2,1,56,1,0,"Ciutat Vella",16.88,945,"flat"
4,2,112,1,1,"Eixample",14.29,1600,"flat"
2,3,140,1,0,"Eixample",9.29,1300,"flat"
3,2,68,0,0,"Horta- Guinardo",16.18,1100,"flat"
3,2,105,1,1,"Sant Martí",24.76,2600,"flat"
1,1,55,1,1,"Ciutat Vella",14.09,775,"flat"
3,2,100,1,0,"Gràcia",21.95,2195,"flat"
3,1,60,1,0,"Nou Barris",12.5,750,"flat"
1,1,50,0,0,"Sarria-Sant Gervasi",17,850,"flat"
2,2,62,1,0,"Ciutat Vella",17.58,1090,"flat"
2,1,55,0,0,"Horta- Guinardo",10.91,600,"flat"
3,2,85,0,0,"Eixample",14.71,1250,"flat"
2,2,65,1,0,"Sant Martí",16.15,1050,"flat"
1,2,44,0,0,"Ciutat Vella",22.61,995,"flat"
2,1,52,0,0,"Ciutat Vella",20.19,1050,"flat"
3,1,85,0,0,"Ciutat Vella",11.65,990,"flat"
2,2,68,1,1,"Sant Martí",16.03,1090,"flat"
2,1,70,0,0,"Ciutat Vella",13.21,925,"flat"
3,1,71,1,0,"Horta- Guinardo",13.38,950,"flat"
2,1,53,0,0,"Eixample",21.7,1150,"flat"
3,2,75,0,0,"Gràcia",17.33,1300,"flat"
3,1,86,1,0,"Gràcia",11.63,1000,"flat"
2,1,45,0,0,"Ciutat Vella",21.11,950,"flat"
4,2,91,0,0,"Sant Martí",10.44,950,"flat"
3,2,145,1,1,"Eixample",11.38,1650,"flat"
3,1,71,1,0,"Gràcia",11.97,850,"flat"
3,1,71,0,1,"Gràcia",11.97,850,"flat"
4,3,190,1,1,"Eixample",15.79,3000,"attic"
3,2,145,1,0,"Sarria-Sant Gervasi",17.24,2500,"flat"
1,1,44,1,1,"Horta- Guinardo",17.73,780,"flat"
2,2,85,0,0,"Ciutat Vella",10,850,"apartment"
1,1,45,1,0,"Sarria-Sant Gervasi",15.56,700,"flat"
1,1,42,1,0,"Les Corts",19.05,800,"attic"
1,1,60,1,0,"Ciutat Vella",14.17,850,"flat"
3,3,203,1,0,"Sarria-Sant Gervasi",13.3,2700,"flat"
3,1,65,1,0,"Les Corts",20,1300,"flat"
2,1,55,0,0,"Eixample",17.29,951,"flat"
3,1,65,1,0,"Sants-Montjuïc",12.31,800,"flat"
2,1,65,1,0,"Sant Martí",15.23,990,"flat"
2,1,81,1,0,"Gràcia",16.05,1300,"flat"
2,2,121,1,0,"Eixample",9.71,1175,"flat"
1,1,40,0,0,"Ciutat Vella",21.25,850,"flat"
3,1,82,0,0,"Horta- Guinardo",9.63,790,"flat"
1,1,52,1,1,"Sarria-Sant Gervasi",23.08,1200,"flat"
2,1,60,0,0,"Ciutat Vella",13.73,824,"flat"
4,1,107,0,0,"Les Corts",12.15,1300,"flat"
4,1,70,1,0,"Sant Andreu",12.14,850,"flat"
2,1,60,0,0,"Ciutat Vella",14.33,860,"flat"
3,2,80,0,0,"Sant Martí",27.5,2200,"flat"
